Id,Banned hero
1,Rumble
1,Kassadin
1,Lissandra
1,Tristana
1,Leblanc
1,Nidalee
2,Kassadin
2,Sivir
2,Lissandra
2,RekSai
2,Janna
2,Leblanc
3,JarvanIV
3,Lissandra
3,Kassadin
3,Leblanc
3,Zed
3,RekSai
4,Annie
4,Lissandra
4,Kassadin
4,RekSai
4,Rumble
4,LeeSin
5,Irelia
5,Pantheon
5,Kassadin
5,Rumble
5,Sivir
5,Rengar
6,LeeSin
6,Rumble
6,Janna
6,Azir
6,RekSai
6,Lissandra
7,Zed
7,Sivir
7,Annie
7,RekSai
7,Gnar
7,Kassadin
8,Lissandra
8,Janna
8,Kassadin
8,Nunu
8,Gnar
8,RekSai
9,JarvanIV
9,Gnar
9,Sivir
9,Rumble
9,Lissandra
9,Fizz
10,Rumble
10,Janna
10,Kassadin
10,RekSai
10,JarvanIV
10,Lissandra
11,Irelia
11,Annie
11,Sivir
11,RekSai
11,Lissandra
11,Kassadin
12,Janna
12,Rumble
12,Nocturne
12,Sivir
12,Irelia
13,Azir
13,Lulu
13,Cassiopeia
13,Rumble
13,Kassadin
13,RekSai
14,Azir
14,Kassadin
14,Lissandra
14,RekSai
14,Leblanc
14,Rumble
15,Kassadin
15,Sivir
15,Lissandra
15,RekSai
15,Irelia
15,Rumble
16,Annie
16,Kassadin
16,Kalista
16,JarvanIV
16,Cassiopeia
16,Lissandra
17,Kalista
17,Lissandra
17,Annie
17,RekSai
17,Kassadin
17,Corki
18,Cassiopeia
18,Annie
18,Sivir
18,Kalista
18,Rumble
18,Kassadin
19,Irelia
19,Jax
19,Sivir
19,Rumble
19,Kassadin
19,Lissandra
20,Zed
20,Azir
20,Kassadin
20,Irelia
20,Gnar
20,Xerath
21,Leblanc
21,Xerath
21,Azir
21,JarvanIV
21,Kassadin
21,Lissandra
22,Nidalee
22,Leblanc
22,Ahri
22,Kalista
22,Rumble
22,Lissandra
23,Rumble
23,Kassadin
23,Annie
23,JarvanIV
23,Lissandra
23,Ahri
24,Irelia
24,Ahri
24,Gnar
24,Kalista
24,Kassadin
24,Annie
25,Kalista
25,Annie
25,Blitzcrank
25,Maokai
25,Lissandra
25,Leblanc
26,Ahri
26,Irelia
26,Gnar
26,Kassadin
26,Lissandra
26,Kalista
27,Kassadin
27,JarvanIV
27,Morgana
27,Ahri
27,Annie
27,Kalista
28,Thresh
28,Irelia
28,Gnar
28,Lissandra
28,RekSai
28,Kassadin
29,Zed
29,Janna
29,Maokai
29,Kassadin
29,JarvanIV
29,Irelia
30,Rumble
30,Leblanc
30,Sivir
30,Kalista
30,JarvanIV
30,Lissandra
31,Vi
31,Lissandra
31,Ahri
31,Xerath
31,Maokai
31,Gnar
32,LeeSin
32,Nidalee
32,Kalista
32,Ahri
32,JarvanIV
32,Rengar
33,Lissandra
33,Rumble
33,Morgana
33,Ahri
33,Annie
33,Kassadin
34,Annie
34,Janna
34,Lissandra
34,Irelia
34,Morgana
34,Nidalee
35,Ahri
35,Leblanc
35,Nidalee
35,Corki
35,Morgana
35,Kalista
36,Kalista
36,Nidalee
36,Rumble
36,Morgana
36,Annie
36,Gnar
37,Irelia
37,Kassadin
37,Kalista
37,Ahri
37,LeeSin
37,Leblanc
38,Xerath
38,Leblanc
38,Maokai
38,Rumble
38,Morgana
38,Nidalee
39,Nidalee
39,Ahri
39,Leblanc
39,Morgana
39,Corki
39,Lissandra
40,Irelia
40,Nidalee
40,Lissandra
40,JarvanIV
40,Ahri
40,Rumble
41,Kalista
41,Zed
41,Ahri
41,Lissandra
41,Rumble
41,Morgana
42,Vi
42,Zed
42,JarvanIV
42,Nidalee
42,Irelia
42,Lissandra
43,Morgana
43,Kassadin
43,Kennen
43,Lissandra
43,Kalista
43,Rumble
44,Kalista
44,Nidalee
44,Lissandra
44,Annie
44,JarvanIV
44,Sivir
45,Irelia
45,Morgana
45,JarvanIV
45,Lissandra
45,Kalista
45,Annie
46,Morgana
46,Nidalee
46,Cassiopeia
46,Veigar
46,Annie
46,Lissandra
47,Kalista
47,Maokai
47,Zed
47,Fizz
47,Morgana
47,Vi
48,Rumble
48,Morgana
48,Annie
48,Maokai
48,Zed
48,Lissandra
49,Nidalee
49,Morgana
49,Rumble
49,Zed
49,Lissandra
49,Kassadin
50,Maokai
50,JarvanIV
50,Kassadin
50,Ahri
50,Rumble
50,Lissandra
51,Kassadin
51,Rumble
51,Veigar
51,Lissandra
51,Nidalee
51,Hecarim
52,Morgana
52,Rumble
52,Lulu
52,Lissandra
52,Sivir
52,Irelia
53,Thresh
53,Zed
53,Maokai
53,Janna
53,Annie
53,Rumble
54,Kassadin
54,Rumble
54,Thresh
54,JarvanIV
54,Nidalee
54,Veigar
55,Zed
55,Annie
55,Sion
55,Lissandra
55,Rumble
55,Nidalee
56,Irelia
56,JarvanIV
56,Morgana
56,Lissandra
56,Fizz
56,Zed
57,Annie
57,RekSai
57,Hecarim
57,Lissandra
57,Rumble
57,Veigar
58,Veigar
58,Maokai
58,Janna
58,Lissandra
58,Rumble
58,Kennen
59,Kennen
59,Annie
