"rWinEfficiency","bWinEfficiency","Year","bTowersNum","bInhibsNum","bDragonsNum","bBaronsNum","rTowersNum","rInhibsNum","rDragonsNum","rBaronsNum","bTowersFirstDestroyedTime","rTowersFirstDestroyedTime","TowersFirstKillBy","bTowers5Mins","rTowers5Mins","bTowers10Mins","rTowers10Mins","bTowers20Mins","rTowers20Mins","bTowersQuarterGame","rTowersQuarterGame","bTowersHalfGame","rTowersHalfGame","bInhibsFirstDestroyedTime","rInhibsFirstDestroyedTime","InhibsFirstKillBy","bInhibs5Mins","rInhibs5Mins","bInhibs10Mins","rInhibs10Mins","bInhibs20Mins","rInhibs20Mins","bInhibsQuarterGame","rInhibsQuarterGame","bInhibsHalfGame","rInhibsHalfGame","bDragonsFirstDestroyedTime","rDragonsFirstDestroyedTime","DragonsFirstKillBy","bDragons5Mins","rDragons5Mins","bDragons10Mins","rDragons10Mins","bDragons20Mins","rDragons20Mins","bDragonsQuarterGame","rDragonsQuarterGame","bDragonsHalfGame","rDragonsHalfGame","bBaronsFirstDestroyedTime","rBaronsFirstDestroyedTime","BaronsFirstKillBy","bBarons5Mins","rBarons5Mins","bBarons10Mins","rBarons10Mins","bBarons20Mins","rBarons20Mins","bBaronsQuarterGame","rBaronsQuarterGame","bBaronsHalfGame","rBaronsHalfGame","bKillsFirstDestroyedTime","rKillsFirstDestroyedTime","KillsFirstKillBy","bKills5Mins","rKills5Mins","bKills10Mins","rKills10Mins","bKills20Mins","rKills20Mins","bKillsQuarterGame","rKillsQuarterGame","bKillsHalfGame","rKillsHalfGame","goldblue5Mins","goldred5Mins","goldblue10Mins","goldred10Mins","goldblue20Mins","goldred20Mins","goldblueQuarterGame","goldredQuarterGame","goldblueHalfGame","goldredHalfGame","isBluePreferredLineup","isRedPreferredLineup","isBluePreferredChamps","isRedPreferredChamps","bResult"
0.3125,0.658823529411765,2016,7,2,3,1,10,3,2,1,13.188,15.673,1,0,0,0,0,3,1,0,0,4,2,33.982,36.741,1,0,0,0,0,0,0,0,0,0,0,12.39,19.061,1,0,0,0,0,1,1,0,0,1,1,30.923,38.361,1,0,0,0,0,0,0,0,0,0,0,4.146,4.144,0,2,1,2,1,5,4,3,2,8,6,5449,5390,13153,12738,30972,28475,16116,16073,39089,36565,1,1,0,0,0
0.3125,0.387755102040816,2016,3,0,2,0,10,2,3,2,19.616,14.983,0,0,0,0,0,1,2,0,0,1,3,10000,43.589,0,0,0,0,0,0,0,0,0,0,0,12.922,19.058,1,0,0,0,0,1,1,0,0,1,1,10000,33.736,0,0,0,0,0,0,0,0,0,0,0,8.507,3.296,0,0,1,2,4,6,9,2,5,6,9,5592,5953,13248,13632,28567,30506,14151,15210,31722,33816,1,1,0,0,0
0.3125,0.594594594594595,2016,11,3,4,2,3,0,0,0,14.17,16.153,1,0,0,0,0,2,1,0,0,2,1,33.721,10000,1,0,0,0,0,0,0,0,0,0,0,11.203,10000,1,0,0,0,0,2,0,0,0,2,0,25.221,10000,1,0,0,0,0,0,0,0,0,0,0,6.631,3.253,0,0,1,2,2,7,4,2,2,7,4,5760,6135,13538,13450,32389,30223,13538,13450,30711,28595,1,1,0,0,1
0.3125,0.576470588235294,2016,10,5,6,2,7,0,1,1,17.207,19.815,1,0,0,0,0,3,1,0,0,4,4,40.858,10000,1,0,0,0,0,0,0,0,0,0,0,17.357,10.163,0,0,0,0,0,1,1,0,1,3,1,33.898,44.908,1,0,0,0,0,0,0,0,0,0,0,10.163,14.998,1,0,0,0,0,3,3,2,1,5,4,5454,5624,12677,12670,30537,27556,22775,21133,49422,47679,0,1,0,0,1
0.3125,0.320754716981132,2016,9,1,3,1,4,0,1,0,21.078,20.275,0,0,0,0,0,0,0,0,0,0,0,26.932,10000,1,0,0,0,0,0,0,0,0,0,0,6.876,15.046,1,0,0,1,0,1,1,1,0,1,0,25.001,10000,1,0,0,0,0,0,0,0,0,0,0,4.52,9.566,1,1,0,3,1,5,3,3,0,3,1,5749,5524,13875,12686,29796,28692,10885,9609,21445,20757,1,1,0,0,1
0.3125,0.576470588235294,2016,10,2,5,1,3,0,1,0,3.835,3.808,0,1,1,1,1,3,2,1,1,3,2,42.653,10000,1,0,0,0,0,0,0,0,0,0,0,4.234,27.597,1,1,0,1,0,2,0,1,0,3,0,40.265,10000,1,0,0,0,0,0,0,0,0,0,0,19.844,18.355,0,0,0,0,0,1,1,0,0,1,1,5922,6117,12484,12808,28128,28957,13716,14166,31304,31998,0,1,0,0,1
0.3125,0.439393939393939,2016,10,3,4,1,1,0,1,0,3.823,3.831,1,1,1,2,1,4,1,2,1,4,1,32.234,10000,1,0,0,0,0,0,0,0,0,0,0,15.283,8.908,0,0,0,0,1,1,1,0,1,1,1,31.262,10000,1,0,0,0,0,0,0,0,0,0,0,11.976,27.453,1,0,0,0,0,2,0,0,0,2,0,6002,6033,13184,12356,31507,26591,13184,12356,31507,26591,1,1,0,0,1
0.3125,0.535714285714286,2016,3,0,2,0,10,2,4,3,3.355,3.679,1,1,1,2,3,3,5,2,3,3,5,10000,33.276,0,0,0,0,0,0,0,0,0,0,0,23.233,8.683,0,0,0,0,1,0,2,0,1,0,2,10000,24.817,0,0,0,0,0,0,0,0,0,0,0,23.334,6.048,0,0,0,0,2,0,4,0,2,0,4,6092,5898,13423,15076,28699,33113,14836,16330,31369,36502,1,1,0,0,0
0.3125,0.576470588235294,2016,7,0,2,1,11,3,3,2,18.093,15.793,0,0,0,0,0,1,2,0,0,1,7,10000,31.197,0,0,0,0,0,0,0,0,0,0,0,18.416,25.296,1,0,0,0,0,1,0,0,0,1,1,60.215,42.343,0,0,0,0,0,0,0,0,0,0,0,17.776,12.057,0,0,0,0,0,1,5,0,4,6,10,5814,5622,12683,12527,28226,30952,21391,22194,46134,50540,1,1,0,0,0
0.439393939393939,0.545454545454545,2017,7,1,2,2,9,3,3,0,11.804,11.985,1,0,0,0,0,4,2,0,0,4,2,34.484,38.681,1,0,0,0,0,0,0,0,0,0,0,19.855,13.49,0,0,0,0,0,1,1,0,0,1,1,29.617,10000,1,0,0,0,0,0,0,0,0,0,0,4.848,4.906,1,2,1,2,2,3,2,2,2,3,3,5794,5595,13568,12806,32099,28911,16505,15661,38589,35720,1,1,0,0,0
0.439393939393939,0.594594594594595,2016,9,2,4,1,5,0,1,1,3.679,3.309,0,1,1,1,1,1,1,1,1,1,3,47.54,10000,1,0,0,0,0,0,0,0,0,0,0,19.196,11.527,0,0,0,0,0,1,1,0,1,2,1,46.537,37.734,0,0,0,0,0,0,0,0,0,0,0,7.484,7.522,1,0,0,1,1,5,5,1,4,5,6,6171,6144,13440,12987,29997,29040,17215,17772,38841,39048,1,1,0,0,1
0.439393939393939,0.658823529411765,2016,10,2,2,1,3,0,1,0,16.775,16.99,1,0,0,0,0,3,1,0,0,3,1,36.807,10000,1,0,0,0,0,0,0,0,0,0,0,24.733,18.207,0,0,0,0,0,0,1,0,0,0,1,31.118,10000,1,0,0,0,0,0,0,0,0,0,0,20.341,4.806,0,0,1,0,1,0,2,0,1,0,2,5679,5351,12686,13045,30501,28499,12686,13045,28193,27300,1,1,0,0,1
0.439393939393939,0.387755102040816,2016,8,1,1,2,9,1,4,0,13.677,12.421,0,0,0,0,0,2,5,0,0,2,5,39.609,32.121,0,0,0,0,0,0,0,0,0,0,0,38.664,12.174,0,0,0,0,0,0,2,0,0,0,2,27.713,10000,1,0,0,0,0,0,0,0,0,0,0,11.512,3.2,0,0,1,0,2,3,8,0,2,3,8,5436,6092,12656,13403,30527,32796,13944,14921,33746,36767,0,0,0,0,1
0.439393939393939,0.571428571428571,2017,5,1,2,1,8,1,2,2,15.404,15.186,0,0,0,0,0,3,2,0,0,3,2,35.551,35.465,0,0,0,0,0,0,0,0,0,0,0,19.965,13.403,0,0,0,0,0,1,1,0,0,0,1,21.634,29.804,1,0,0,0,0,0,0,0,0,0,0,11.791,3.197,0,0,1,0,1,5,2,0,1,5,2,5223,6112,12395,13652,31740,31112,12395,13652,31740,31112,1,1,0,0,0
0.439393939393939,0.576470588235294,2016,9,1,3,2,7,1,3,0,15.114,13.27,0,0,0,0,0,2,2,0,0,2,3,47.558,38.361,0,0,0,0,0,0,0,0,0,0,0,10.934,29.884,1,0,0,0,0,2,0,1,0,3,0,37.805,10000,1,0,0,0,0,0,0,0,0,0,0,8.458,8.606,1,0,0,1,1,1,1,1,1,1,3,5479,5304,12630,12344,29321,28464,15458,15014,34971,35108,1,0,0,0,1
0.439393939393939,0.535714285714286,2016,11,3,5,1,6,0,2,0,3.826,3.761,0,1,1,2,2,3,2,2,2,3,3,46.366,10000,1,0,0,0,0,0,0,0,0,0,0,8.362,28.564,1,0,0,1,0,2,0,1,0,3,0,43.633,10000,1,0,0,0,0,0,0,0,0,0,0,6.155,13.135,1,0,0,1,0,2,1,1,0,2,3,6304,6003,14151,13220,31062,27035,17536,15922,38673,36030,0,0,0,0,1
0.439393939393939,0.320754716981132,2016,9,1,3,0,8,1,2,3,4.18,3.894,0,1,1,2,1,4,3,2,1,4,3,30.972,42.073,1,0,0,0,0,0,0,0,0,0,0,18.852,12.622,0,0,0,0,0,1,1,0,0,1,1,10000,21.721,0,0,0,0,0,0,0,0,0,0,1,0.783333333333333,7.734,1,1,0,4,1,5,3,4,1,5,6,5755,6144,14902,12883,32079,29728,16342,14446,34947,32860,1,1,0,0,0
0.439393939393939,0,2017,1,0,0,0,10,3,3,2,17.617,9.834,0,0,0,0,1,1,3,0,0,0,1,10000,24.618,0,0,0,0,0,0,0,0,0,0,0,10000,15.755,0,0,0,0,0,0,1,0,0,0,1,10000,22.124,0,0,0,0,0,0,0,0,0,0,0,6.288,6.275,0,0,0,2,2,5,10,2,1,4,8,5410,5420,13201,13432,29721,33715,10074,10281,23946,25697,0,1,0,0,0
0.439393939393939,0.658823529411765,2017,11,3,3,2,0,0,0,0,15.192,10000,1,0,0,0,0,2,0,0,0,1,0,26.898,10000,1,0,0,0,0,0,0,0,0,0,0,11.606,10000,1,0,0,0,0,1,0,0,0,1,0,21.512,10000,1,0,0,0,0,0,0,0,0,0,0,4.545,13.819,1,2,0,3,0,4,2,3,0,4,1,5606,5657,13802,12053,31541,27538,10957,9546,23230,21233,0,1,0,0,1
0.439393939393939,0.387755102040816,2016,7,1,4,2,7,1,1,1,3.852,3.809,0,1,1,1,1,2,1,1,1,3,1,38.243,47.886,1,0,0,0,0,0,0,0,0,0,0,9.26,32.438,1,0,0,1,0,2,0,1,0,2,0,28.852,45.322,1,0,0,0,0,0,0,0,0,0,0,4.697,15.998,1,1,0,1,0,3,2,1,0,5,3,6119,5790,13101,12218,29606,27131,15947,15320,37378,33811,1,1,0,0,0
0.439393939393939,0.576470588235294,2016,3,0,0,0,9,1,4,0,25.678,14.167,0,0,0,0,0,0,3,0,0,0,3,10000,36.069,0,0,0,0,0,0,0,0,0,0,0,10000,13.425,0,0,0,0,0,0,2,0,0,0,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0,13.435,20.091,1,0,0,0,0,1,0,0,0,1,0,5627,5743,12719,13262,27719,30038,12719,13262,26394,27450,0,1,0,0,0
0.439393939393939,0.594594594594595,2016,3,0,0,0,10,1,3,1,3.882,3.787,0,1,1,2,2,3,2,2,2,2,2,10000,29.206,0,0,0,0,0,0,0,0,0,0,0,10000,12.019,0,0,0,0,0,0,2,0,0,0,1,10000,23.649,0,0,0,0,0,0,0,0,0,0,0,7.629,9.83,1,0,0,1,2,1,6,0,0,1,5,6047,6178,13622,13156,29027,30012,10486,10641,21126,22085,1,1,0,0,0
0.439393939393939,0.658823529411765,2016,2,0,0,0,11,3,4,1,3.46,3.377,0,1,1,2,2,2,4,2,2,2,4,10000,27.9,0,0,0,0,0,0,0,0,0,0,0,10000,10.646,0,0,0,0,0,0,2,0,0,0,1,10000,25.181,0,0,0,0,0,0,0,0,0,0,0,27.739,4.749,0,0,1,0,2,0,5,0,1,0,5,6311,6282,13487,14249,28846,32727,10842,11379,22166,26157,1,1,0,0,0
